"method","n","replication","full_mae1","full_rmse1","bound_mae1","bound_rmse1","inter_mae1","inter_rmse1","full_mae2","full_rmse2","bound_mae2","bound_rmse2","inter_mae2","inter_rmse2","runtime"
"Random",40,5,11.3322636894134,3.46341469321372,12.7094112124053,4.0732933728039,10.7044101745669,3.14637367459028,2.08373618411737,3.11110289261863,2.12043573676284,3.24722180943726,2.0670045393683,3.04702766474644,0
"Random",40,6,6.75240059796759,1.77200979244661,8.43902109903077,2.22100972569775,5.98235599392195,1.52363604996789,1.40484660479046,2.627677844166,2.11689259666671,3.77075470902099,1.07975440205072,1.88824034179965,0
"Random",40,7,4.62717740897972,1.42914950939,6.36402872715302,1.97555577902292,3.83589764084349,1.09312561438888,2.09022778072064,3.68794652460565,3.20739755985761,5.3847695146037,1.58126432797442,2.56658235566452,0
"Random",40,8,5.6630697143633,1.62700625557075,7.4208632880649,2.10281785706437,4.86167635947742,1.35574744667993,1.48100625171282,2.99379688545596,2.19632900667998,4.55493493025438,1.15488439587841,1.89475925869123,0.00100000000000122
"Random",40,9,4.23930102911949,1.26990607438296,5.85169002912724,1.78938045909631,3.50524921367971,0.942951232822741,1.29009325364513,1.88784566783445,1.59616991046734,2.38083373581127,1.15074963023727,1.61428442896086,0
"Random",40,10,4.61530575403573,1.38787032392089,6.23273810213338,1.87661820845686,3.87737713853921,1.09464894093492,1.04038948332747,1.57913454581331,1.41121471842308,2.10908925770696,0.871206177053724,1.26566724946531,0
"Random",40,11,6.79505373618895,2.09777036145786,9.41991662939515,2.75234983194987,5.59664454692619,1.71789307384869,2.73150360720046,4.29071910151274,3.40489161544666,5.32461862939474,2.42406111978128,3.72444181655127,0
"Random",40,12,8.52313307298431,2.42721891808476,11.6271773484009,3.22778831792814,7.103922865519,1.95486163842037,1.67132301616266,3.02621409000332,2.48021419446655,4.28070264932045,1.30148724221143,2.22866601569258,0
"Random",40,13,7.58703973268303,2.43318023546881,9.49785637120249,2.99846447990754,6.71588183369823,2.12615461984684,1.24662648548381,2.0511903656218,1.49136994981749,2.63164526455737,1.13504581474797,1.72282976017636,0
"Random",40,14,7.69291229710502,2.14634897644114,11.0976989948002,2.98166383803131,6.13953076813644,1.62865912790092,1.78013258295883,2.74367889395622,2.51413749409293,3.80724587802111,1.44525413906108,2.08543254465245,0
"Random",40,15,7.35766033396554,2.02187707040276,9.77449098054874,2.70882670675107,6.2550185480384,1.61410534838064,2.69503163521393,5.29960171544875,3.7613724540927,7.67600581695464,2.2085300482708,3.74401565728264,0
"Random",40,16,7.696962504209,2.32261914031372,10.8228310670661,3.05456911248496,6.27287022540457,1.89775170560676,2.18655079571292,4.23864819596275,3.36265327883458,6.14043127091195,1.65073861051809,2.99557974062425,0
"Random",40,17,6.82066477524725,1.90409704610271,9.39550508652469,2.51665105731795,5.64845000266345,1.54685907831547,1.95515062849248,3.63962777152491,2.9618823451038,5.2667721358465,1.49682869486742,2.57862418154353,0
"Random",40,18,9.82408464712478,2.98342920759127,14.2132122797908,4.04008989858954,7.82733098914163,2.35044342186778,2.09523786849253,3.84678745669642,3.17082999784853,5.71053612438565,1.6059168237352,2.58733927416039,0
"Random",40,19,10.6074245508122,3.81857905593154,17.2097356111035,5.61290692370501,7.5973736041216,2.6203286315825,2.20999708974776,3.41111245215574,3.20291935848771,4.59191451134174,1.75731520491712,2.70690881437359,0
"Random",40,20,6.24336010298977,1.77333190700261,7.05040169503704,2.13381915280045,5.87621123288818,1.58238572683124,1.62116281542784,2.5144478787441,2.09438761734876,3.28805435111388,1.40587781271991,2.06889490066296,0
"Random",40,21,8.36201458004489,2.43917754547352,12.1058828453524,3.34893256116673,6.64904594958153,1.88156622642153,2.48697056890898,4.39906895310728,3.87732667244362,6.44379293052481,1.85082735505782,3.03444378633995,0
