"method","n","replication","full_mae","full_rmse","bound_mae","bound_rmse","inter_mae","inter_rmse","runtime"
"Random",60,16,1.11477292704229,2.72603526398306,1.1163313997863,2.72996100767835,0.736191272513276,1.49272833997191,0
"Random",60,17,1.69856990549203,4.30227187835471,1.70305279174693,4.31030006726637,0.609594495449203,1.30895091743846,0
"Random",60,18,1.28929359908825,3.30865480923492,1.29035701810957,3.31311464362967,1.03096958662296,1.94250678194536,0
"Random",60,19,0.965272680441644,2.49827391416426,0.967396284633178,2.5027166970349,0.449410217342902,0.918768546629679,0
"Random",60,20,0.899865240016008,2.21526343056828,0.901909316889875,2.21922413451631,0.403321423084942,0.800530188582144,0
"Random",60,21,1.58189411860012,4.15229834086948,1.58614138133655,4.15996521256009,0.506071504192009,1.04840196626562,0
"Random",60,22,0.748632989452073,1.77813396062548,0.749718324166253,1.78047972349279,0.484985252658512,1.06487534994527,0
"Random",60,23,1.49114273945902,4.14858419741918,1.4952764185068,4.1565420877649,0.486996174034003,1.07515764831811,0
"Random",60,24,1.05711725442507,2.62648958544698,1.05975728388147,2.63121661330112,0.41580560912881,0.927964836709552,0
"Random",60,25,1.46708314961497,4.01711497529312,1.46951048302001,4.02356834768902,0.852244762657697,1.73023314880982,0
"Random",60,26,1.04523749117148,2.75034028624439,1.04771019405208,2.75540370746888,0.444572544482741,0.890122180110792,0
"Random",60,27,1.16307448707764,3.33876904041483,1.16544609590579,3.34470573802493,0.586967142558227,1.22838100843781,0
"Random",60,28,1.25534281612218,3.13552545246965,1.25851616948851,3.14117633849835,0.468351181272835,1.01746061436174,0
"Random",60,29,1.00678941265052,2.62037539591004,1.00716322627695,2.62337745649631,0.915983216824534,1.74422784855258,0
"Random",60,30,1.09993210489378,2.65285550150733,1.10232652202781,2.6573946840377,0.518284203949007,1.08733189359807,0
"Random",70,1,1.21386521710882,2.87680838091995,1.2165428566016,2.88170788732441,0.550368464459821,1.13351678164743,0
"Random",70,2,1.10526428035177,2.96767060266145,1.1076792325157,2.97287594077131,0.506859258731418,1.06991484808592,0
"Random",70,3,1.30039743180927,3.21990476111259,1.30378628681393,3.22594098803616,0.477873909963922,0.961309840531205,0
"Random",70,4,1.02613006494422,2.61049197061042,1.02833392046657,2.61502979998566,0.491222846017291,1.02922275118186,0
"Random",70,5,1.24476968076872,3.09994415509172,1.24795623831505,3.10571437407071,0.471346642022635,0.958404157506145,0
"Random",70,6,1.33948023433898,3.53667685381836,1.34267214745879,3.5429350823552,0.564757321401257,1.3245472512197,0
"Random",70,7,1.3541438515595,3.82476188181067,1.35751804844511,3.83186840903732,0.518045981610905,1.0704907721773,0
"Random",70,8,1.09751362235263,2.83457566881236,1.09904320865561,2.83882495563469,0.726261175386842,1.47766231368105,0
"Random",70,9,1.51023587626484,3.82975097308241,1.51393653661091,3.8366368519177,0.593243081344949,1.25941081978971,0
"Random",70,10,1.36059897196957,3.8547885738202,1.36376701511465,3.86185315333941,0.591669642900095,1.27587896853225,0
"Random",70,11,1.7150576144031,5.26234876191386,1.71885012770825,5.27224678821996,0.794560456479878,1.54404739717819,0
"Random",70,12,1.41827491962556,4.78097746088464,1.42166814096278,4.790188068732,0.594691626491599,1.20870329884181,0
